slice	context	model	predictions	nonempty_patches	applied_patches	resolved	missing_report	source_summary
first20	noKG	GLM-5 ClaudeCode harness	20	13	13	7	7	artifacts/results/claudecode_context_probe_glm5_20260531/first20_nokg_summary.json
first20	KGCompass	GLM-5 ClaudeCode harness	20	16	16	12	4	artifacts/results/claudecode_context_probe_glm5_20260531/first20_kg_summary.json
subset80	noKG	GLM-5 ClaudeCode harness	80	52	50	30	30	artifacts/results/claudecode_context_probe_glm5_20260531/subset80_nokg_summary.json
subset80	KGCompass	GLM-5 ClaudeCode harness	80	69	66	38	14	artifacts/results/claudecode_context_probe_glm5_20260531/subset80_kg_merged_summary.json
first100	noKG	GLM-5 ClaudeCode harness	100	65	63	37	37	artifacts/results/claudecode_context_probe_glm5_20260531/first100_nokg_summary.json
first100	KGCompass	GLM-5 ClaudeCode harness	100	85	82	50	18	artifacts/results/claudecode_context_probe_glm5_20260531/first100_kg_summary.json
remaining400	noKG	GLM-5 ClaudeCode harness	400	360	349	229	51	artifacts/results/claudecode_context_probe_glm5_20260531/remaining400_nokg_summary.json
remaining400	KGCompass	GLM-5 ClaudeCode harness	400	375	364	239	36	artifacts/results/claudecode_context_probe_glm5_20260531/remaining400_kg_summary.json
full500	noKG	GLM-5 ClaudeCode harness	500	425	412	266	88	artifacts/results/claudecode_context_probe_glm5_20260531/full500_nokg_summary.json
full500	KGCompass	GLM-5 ClaudeCode harness	500	460	446	289	54	artifacts/results/claudecode_context_probe_glm5_20260531/full500_kg_summary.json
