name	N	submitted_rows	missing_rows	ranked_nonempty	file_rate	method_or_entity_rate	mrr	hit@20	hit@5	mrr@5	file
CoSIL/CoSIL_qwen_coder_14b_func.jsonl	500	500	0	499	0.796000	0.496404	0.471586	0.592000	0.590000	0.471300	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/CoSIL/CoSIL_qwen_coder_14b_func.jsonl
CoSIL/CoSIL_qwen_coder_32b_func.jsonl	500	500	0	494	0.850000	0.558750	0.520400	0.656000	0.656000	0.520400	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/CoSIL/CoSIL_qwen_coder_32b_func.jsonl
CoSIL/CoSIL_qwen_coder_7b_func.jsonl	500	500	0	500	0.724000	0.310841	0.310167	0.376000	0.374000	0.309833	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/CoSIL/CoSIL_qwen_coder_7b_func.jsonl
agentless/agentless_qwen_coder_14b_func.jsonl	500	489	11	488	0.794000	0.331940	0.311892	0.406000	0.380000	0.309167	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/agentless/agentless_qwen_coder_14b_func.jsonl
agentless/agentless_qwen_coder_32b_func.jsonl	500	488	12	486	0.814000	0.482900	0.432131	0.578000	0.544000	0.428000	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/agentless/agentless_qwen_coder_32b_func.jsonl
agentless/agentless_qwen_coder_7b_func.jsonl	500	466	34	461	0.652000	0.306631	0.304138	0.374000	0.366000	0.303167	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/agentless/agentless_qwen_coder_7b_func.jsonl
locagent/locagent_qwen_coder_14b_func.jsonl	500	500	0	411	0.608000	0.367904	0.364433	0.432000	0.428000	0.363767	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/locagent/locagent_qwen_coder_14b_func.jsonl
locagent/locagent_qwen_coder_32b_func.jsonl	500	498	2	430	0.762000	0.520109	0.530190	0.612000	0.602000	0.528867	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/locagent/locagent_qwen_coder_32b_func.jsonl
locagent/locagent_qwen_coder_7b_func.jsonl	500	500	0	276	0.324000	0.183208	0.201286	0.218000	0.216000	0.201000	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/locagent/locagent_qwen_coder_7b_func.jsonl
orcaloca/orcaloca_qwen_coder_14b_func.jsonl	500	500	0	473	0.596000	0.125747	0.134067	0.160000	0.160000	0.134067	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/orcaloca/orcaloca_qwen_coder_14b_func.jsonl
orcaloca/orcaloca_qwen_coder_32b_func.jsonl	500	500	0	480	0.690000	0.175671	0.167583	0.214000	0.212000	0.167333	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/orcaloca/orcaloca_qwen_coder_32b_func.jsonl
orcaloca/orcaloca_qwen_coder_7b_func.jsonl	500	500	0	464	0.544000	0.114650	0.119400	0.144000	0.142000	0.119067	https://github.com/ZhonghaoJiang/CoSIL/blob/0568e423735b399d5b089996961fea9ae142e4c7/loc_to_patch_verified/orcaloca/orcaloca_qwen_coder_7b_func.jsonl
