instance_id	repo	fusion_rank	kg_rank	kg_type_cnt	kg_lengths
astropy__astropy-13236	astropy__astropy	14	5	"{""file"": 1}"	"{""2"": 1}"
astropy__astropy-14365	astropy__astropy	8	2	"{""file"": 2}"	"{""2"": 2}"
astropy__astropy-7166	astropy__astropy	6	1	"{""file"": 1}"	"{""2"": 1}"
astropy__astropy-7336	astropy__astropy	4	2	"{""file"": 1}"	"{""2"": 1}"
django__django-11400	django__django	4	2	"{""file"": 2}"	"{""2"": 2}"
django__django-11728	django__django	6	1	"{""file"": 2}"	"{""2"": 2}"
django__django-11880	django__django	1	1	"{""file"": 1}"	"{""2"": 1}"
django__django-11951	django__django	3	3	"{""file"": 1}"	"{""2"": 1}"
django__django-12262	django__django	12	11	"{""file"": 1}"	"{""2"": 1}"
django__django-12774	django__django	4	4	"{""file"": 1}"	"{""2"": 1}"
django__django-13023	django__django	3	2	"{""file"": 1}"	"{""2"": 1}"
django__django-13344	django__django	14	4	"{""file"": 1}"	"{""2"": 1}"
django__django-13658	django__django	5	5	"{""file"": 1}"	"{""2"": 1}"
django__django-14170	django__django	7	2	"{""file"": 1}"	"{""2"": 1}"
django__django-14404	django__django	2	1	"{""file"": 1}"	"{""2"": 1}"
django__django-15252	django__django	16	14	"{""file"": 1}"	"{""2"": 1}"
django__django-9296	django__django	1	1	"{""file"": 1}"	"{""2"": 1}"
pydata__xarray-4966	pydata__xarray	5	1	"{""file"": 1}"	"{""2"": 1}"
pytest-dev__pytest-5631	pytest-dev__pytest	11	10	"{""file"": 1}"	"{""2"": 1}"
pytest-dev__pytest-7324	pytest-dev__pytest	13	8	"{""file"": 1}"	"{""2"": 1}"
scikit-learn__scikit-learn-12682	scikit-learn__scikit-learn	8	3	"{""file"": 4}"	"{""2"": 4}"
scikit-learn__scikit-learn-14053	scikit-learn__scikit-learn	3	1	"{""file"": 1}"	"{""2"": 1}"
scikit-learn__scikit-learn-9288	scikit-learn__scikit-learn	18	11	"{""file"": 1}"	"{""2"": 1}"
sphinx-doc__sphinx-10466	sphinx-doc__sphinx	19	17	"{""file"": 1}"	"{""2"": 1}"
sphinx-doc__sphinx-7889	sphinx-doc__sphinx	20	14	"{""file"": 1}"	"{""2"": 1}"
sphinx-doc__sphinx-8595	sphinx-doc__sphinx	15	8	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-13647	sympy__sympy	7	7	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-20438	sympy__sympy	7	1	"{""file"": 2}"	"{""2"": 2}"
sympy__sympy-22456	sympy__sympy	12	3	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-23413	sympy__sympy	3	3	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-23534	sympy__sympy	16	16	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-24213	sympy__sympy	1	1	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-24443	sympy__sympy	2	2	"{""file"": 1}"	"{""2"": 1}"
sympy__sympy-24661	sympy__sympy	11	7	"{""file"": 1}"	"{""2"": 1}"
