section	key	count	percent
path_length	2	251	99.603175
path_length	3	1	0.396825
rank	0	311	
rank	1	83	32.936508
rank	2	38	15.079365
rank	3	15	5.952381
rank	4	16	6.349206
rank	5	17	6.746032
rank	6	10	3.968254
rank	7	8	3.174603
rank	8	6	2.380952
rank	9	7	2.777778
rank	10	4	1.587302
rank	11	9	3.571429
rank	12	5	1.984127
rank	13	4	1.587302
rank	14	9	3.571429
rank	15	5	1.984127
rank	16	3	1.190476
rank	17	6	2.380952
rank	18	1	0.396825
rank	19	4	1.587302
rank	20	2	0.793651
entity_type	file	252	99.604743
entity_type	issue	1	0.395257
